panel,output_file,generating_script (new),original_script (archived),input_object,notes
Fig5c,results/manuscript_plots/Fig5c_UMAP_vehicle.pdf,scripts/manuscript_figures.R,scripts/archive/archive_04_CD45Pos_Manuscript_plots.Rmd,saves/CD45pos_seurat.rds,"Day4-only subset (basophils removed), downsampled 7000 cells/treatment for fair visual comparison. Identical code also existed in scripts/archive/02_CD45Pos_exploratory.Rmd's duplicate ""Plots for manuscript"" block; 04 confirmed authoritative (most recent dedicated commit; matches styling later scripts cite as reference)."
Fig5d,results/manuscript_plots/Fig5d_UMAP_PDS.pdf,scripts/manuscript_figures.R,scripts/archive/archive_04_CD45Pos_Manuscript_plots.Rmd,saves/CD45pos_seurat.rds,Same subset/downsample as Fig5c; PDS arm.
Fig5e,results/manuscript_plots/Fig5e_heatmap_custom_genes.pdf,scripts/manuscript_figures.R,scripts/archive/archive_04_CD45Pos_Manuscript_plots.Rmd,saves/CD45pos_seurat.rds,"Pseudobulk heatmap, Day4, cell_type x Treatment, custom cytokine/chemokine panel (Il1b/Il6/Il12a/Il12b/Ifng/Tnf/Ccl2-5/Cxcl1/9/10). Blue-white-red2 diverging scale, confirmed against manuscript by user. Superseded duplicate in 02_CD45Pos_exploratory.Rmd used batlow instead -- not used."
Fig5f,results/manuscript_plots/Fig5f_Monocytes_GO_KEGG_dotplot.pdf,scripts/manuscript_figures.R,scripts/archive/archive_04_CD45Pos_Manuscript_plots.Rmd,saves/CD45pos_seurat.rds,"Day4 Monocytes PDS-vs-Vehicle DEGs -> Enrichr ORA (GO_Biological_Process_2021 + KEGG_2019_Mouse) filtered to a curated term list, dot plot restricted to PDS-significant terms (plot_pds_sig). Not fgsea/clusterProfiler GSEA."
Fig5g,results/manuscript_plots/Fig5g_Neutrophils_GO_KEGG_dotplot.pdf,scripts/manuscript_figures.R,scripts/archive/archive_04_CD45Pos_Manuscript_plots.Rmd,saves/CD45pos_seurat.rds,Same method as Fig5f; Neutrophils.
SupFig2a,results/manuscript_plots/SupFig2a_ISG_heatmap_myeloid.pdf,scripts/manuscript_figures.R,scripts/archive/archive_05_Supplementary_Figure_2_ISG_cGAS.Rmd,saves/CD45pos_seurat.rds,"Pseudobulk heatmap, Day4 myeloid (DC/Macrophages/Monocytes/Neutrophils) x Treatment, 37-gene ISG panel. Gene order edited post-merge at user's request: Ddx58 moved to last row."
SupFig2b,results/manuscript_plots/SupFig2b_ISG_heatmap_CD45neg.pdf,scripts/manuscript_figures.R,scripts/archive/archive_05_Supplementary_Figure_2_ISG_cGAS.Rmd,saves/CD45neg_seurat.rds,"Pseudobulk heatmap, Tumor+Fibroblasts x Treatment, same ISG panel. Ddx58 moved to last row."
SupFig2c,results/manuscript_plots/SupFig2c_ISG_violin_myeloid.pdf,scripts/manuscript_figures.R,scripts/archive/archive_05_Supplementary_Figure_2_ISG_cGAS.Rmd,saves/CD45pos_seurat.rds,AddModuleScore ISG score per myeloid cell type x Treatment; Holm-adjusted Wilcoxon significance stars.
SupFig2d,results/manuscript_plots/SupFig2d_ISG_violin_CD45neg.pdf,scripts/manuscript_figures.R,scripts/archive/archive_05_Supplementary_Figure_2_ISG_cGAS.Rmd,saves/CD45neg_seurat.rds,Same method as SupFig2c; Tumor+Fibroblasts.
SupFig2e,results/manuscript_plots/SupFig2e_cGAS_heatmap_myeloid.pdf,scripts/manuscript_figures.R,scripts/archive/archive_05_Supplementary_Figure_2_ISG_cGAS.Rmd,saves/CD45pos_seurat.rds,Same method as SupFig2a; 21-gene cGAS/STING panel.
SupFig2f,results/manuscript_plots/SupFig2f_cGAS_heatmap_CD45neg.pdf,scripts/manuscript_figures.R,scripts/archive/archive_05_Supplementary_Figure_2_ISG_cGAS.Rmd,saves/CD45neg_seurat.rds,Same method as SupFig2b; cGAS/STING panel.
SupFig2g,results/manuscript_plots/SupFig2g_cGAS_violin_myeloid.pdf,scripts/manuscript_figures.R,scripts/archive/archive_05_Supplementary_Figure_2_ISG_cGAS.Rmd,saves/CD45pos_seurat.rds,"AddModuleScore cGAS/STING score, myeloid; Holm-adjusted Wilcoxon significance stars."
SupFig2h,results/manuscript_plots/SupFig2h_cGAS_violin_CD45neg.pdf,scripts/manuscript_figures.R,scripts/archive/archive_05_Supplementary_Figure_2_ISG_cGAS.Rmd,saves/CD45neg_seurat.rds,Same method as SupFig2g; Tumor+Fibroblasts.
SupFig4b,results/manuscript_plots/SupFig4b_cluster_freq_day4.csv,scripts/manuscript_figures.R,scripts/archive/archive_04_CD45Pos_Manuscript_plots.Rmd,saves/CD45pos_seurat.rds,"CSV only (% of cell_type per Treatment, Day4). Panel plotted in Prism from this CSV -- no PDF-generating code kept."
SupFig4c,results/manuscript_plots/SupFig4c_chemokine_heatmap_CD45neg.pdf,scripts/manuscript_figures.R,scripts/archive/03_CD45Neg_exploratory.Rmd,saves/CD45neg_seurat.rds,"Pseudobulk heatmap by cluster_anno (Cardiomyocytes/Endothelial_cells/Erythrocytes/Fibroblasts/Tumor_0-6), 13-gene cytokine/chemokine ""Custom_genes"" panel, batlow scale. One of six gene-set heatmaps in the original chemokine_cytokine_expression chunk (Cxcr/Ccr/Interleukin/Gzm/Ifn/Custom); only Custom_genes is a manuscript panel."
SupFig4d,results/manuscript_plots/SupFig4d_Macrophages_GO_KEGG_dotplot.pdf,scripts/manuscript_figures.R,scripts/archive/archive_04_CD45Pos_Manuscript_plots.Rmd,saves/CD45pos_seurat.rds,Same method as Fig5f/5g; Macrophages.
SupFig4e,results/manuscript_plots/SupFig4e_DC_GO_KEGG_dotplot.pdf,scripts/manuscript_figures.R,scripts/archive/archive_04_CD45Pos_Manuscript_plots.Rmd,saves/CD45pos_seurat.rds,"Same method as Fig5f/5g; DC. input_object saves/CD45pos_seurat.rds and saves/CD45neg_seurat.rds are produced by scripts/02_CD45Pos_data_annotation.Rmd and scripts/03_CD45Neg_data_annotation.Rmd respectively (SingleR/SCEVAN annotation, not touched by this cleanup), which in turn consume scripts/01_Nils_dataset_preprocessing.Rmd's output (saves/Preprocessed_CD45{Pos,Neg}.rds; also not touched)."
